Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Date,Time,Payment,cogs,Rating
765-26-6951,A,Calgary,Non-member,Male,Sports and travel,72.61,6.0,21.783,2019-01-01,10:39:00,Credit card,435.66,7.0
746-04-1077,C,Edmonton,Member,Female,Food and beverages,84.63,10.0,42.315,2019-01-01,11:36:00,Credit card,846.3,9.0
271-77-8740,D,Red Deer,Member,Female,Sports and travel,29.22,6.0,8.766,2019-01-01,11:40:00,Ewallet,175.32,5.0
133-14-7229,D,Red Deer,Non-member,,Health and beauty,62.87,2.0,6.287,2019-01-01,11:43:00,Cash,125.74,5.0
651-88-7328,A,Calgary,Non-member,Female,Food and beverages,65.74,9.0,29.583,2019-01-01,13:55:00,Cash,591.66,8.0
416-17-9926,A,Calgary,Member,,Electronic accessories,74.22,10.0,37.11,2019-01-01,14:42:00,Credit card,742.2,10.0
530-90-9855,B,Calgary,Member,Male,Home and lifestyle,47.59,8.0,19.036,2019-01-01,14:47:00,Cash,380.72,6.0
556-97-7101,D,Red Deer,Non-member,Female,Electronic accessories,63.22,2.0,6.322,2019-01-01,15:51:00,Cash,126.44,8.0
891-01-7034,C,Edmonton,Non-member,Female,Electronic accessories,74.71,6.0,22.413,2019-01-01,19:07:00,Cash,448.26,7.0
770-42-8960,C,Edmonton,Non-member,Male,Food and beverages,21.12,8.0,8.448,2019-01-01,19:31:00,Cash,168.96,6.0
493-65-6248,D,Red Deer,Member,Female,Sports and travel,36.98,10.0,18.49,2019-01-01,19:48:00,Credit card,369.8,7.0
182-52-7000,A,Calgary,Member,Female,Sports and travel,27.04,4.0,5.408,2019-01-01,20:26:00,Ewallet,108.16,10.0
887-42-0517,D,Red Deer,Non-member,Female,Sports and travel,83.14,7.0,29.099,2019-01-10,10:31:00,Credit card,581.98,7.0
241-11-2261,C,Edmonton,Non-member,Female,Fashion accessories,79.86,7.0,27.951,2019-01-10,10:33:00,Credit card,559.02,6.0
226-34-0034,C,Edmonton,Non-member,Female,Electronic accessories,13.78,4.0,2.756,2019-01-10,11:10:00,Ewallet,55.12,9.0
603-07-0961,D,Red Deer,Member,Male,Electronic accessories,74.79,5.0,18.6975,2019-01-10,11:34:00,Cash,373.95,5.0
744-02-5987,B,Calgary,Member,Male,Home and lifestyle,78.38,6.0,23.514,2019-01-10,14:16:00,Ewallet,470.28,6.0
640-49-2076,C,Edmonton,Non-member,Male,Sports and travel,83.78,8.0,33.512,2019-01-10,14:49:00,Cash,670.24,2.0
873-51-0671,B,Calgary,Member,Female,Sports and travel,21.98,7.0,7.693,2019-01-10,16:42:00,Ewallet,153.86,5.0
665-32-9167,B,Calgary,Member,Female,Health and beauty,36.26,2.0,3.626,2019-01-10,17:15:00,Credit card,72.52,7.0
577-34-7579,D,Red Deer,Member,Male,Food and beverages,50.49,9.0,22.7205,2019-01-10,17:16:00,Cash,454.41,
289-15-7034,A,Calgary,Member,Male,Sports and travel,82.33,4.0,16.466,2019-01-11,10:37:00,Credit card,329.32,
478-06-7835,B,Calgary,Non-member,Male,Fashion accessories,89.69,1.0,4.4845,2019-01-11,11:20:00,Ewallet,89.69,5.0
406-46-7107,B,Calgary,Non-member,Female,Home and lifestyle,96.52,6.0,28.956,2019-01-11,11:52:00,Cash,579.12,
130-67-4723,A,Calgary,Member,Male,Food and beverages,48.5,6.0,14.55,2019-01-11,13:57:00,Ewallet,291.0,9.0
746-68-6593,D,Red Deer,Member,Female,Sports and travel,87.16,2.0,8.716,2019-01-11,14:29:00,Credit card,174.32,10.0
540-11-4336,A,Calgary,Non-member,Male,Food and beverages,24.94,9.0,11.223,2019-01-11,16:49:00,Credit card,224.46,6.0
732-67-5346,A,Calgary,Non-member,Male,Food and beverages,13.79,5.0,3.4475,2019-01-11,19:07:00,Credit card,68.95,10.0
592-46-1692,D,Red Deer,Member,Female,Food and beverages,36.77,7.0,12.8695,2019-01-11,20:10:00,Cash,257.39,7.0
852-62-7105,C,Edmonton,Non-member,Female,Fashion accessories,83.25,10.0,41.625,2019-01-12,11:25:00,Credit card,832.5,
533-66-5566,C,Edmonton,Non-member,Female,Home and lifestyle,51.07,7.0,17.8745,2019-01-12,11:42:00,Cash,357.49,
659-36-1684,D,Red Deer,Member,Male,Sports and travel,57.12,7.0,19.992,2019-01-12,12:02:00,Credit card,399.84,6.0
704-48-3927,A,Calgary,Member,Male,Electronic accessories,88.67,10.0,44.335,2019-01-12,14:50:00,Ewallet,886.7,9.0
381-20-0914,B,Calgary,Member,Female,Fashion accessories,20.01,9.0,9.0045,2019-01-12,15:48:00,Credit card,180.09,6.0
751-41-9720,D,Red Deer,Non-member,Male,Home and lifestyle,97.5,10.0,48.75,2019-01-12,16:18:00,Ewallet,975.0,10.0
647-50-1224,B,Calgary,Non-member,Female,Fashion accessories,29.42,10.0,14.71,2019-01-12,16:23:00,Ewallet,294.2,9.0
751-15-6198,C,Edmonton,Non-member,,Sports and travel,23.01,6.0,6.903,2019-01-12,16:45:00,Ewallet,138.06,2.0
848-07-1692,C,Edmonton,Non-member,Female,Health and beauty,57.22,2.0,5.722,2019-01-12,17:13:00,Ewallet,114.44,
197-77-7132,C,Edmonton,Member,Male,Electronic accessories,91.56,8.0,36.624,2019-01-12,18:22:00,Ewallet,732.48,6.0
